review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"Bad experience
Bad experience I had with my ola s1 pro. The battery gets drained, even though showing a 50 km range balance on the scooter panel. Due to the battery not being detachable, I have faced lots of inconveniences as had to tow this scooter.
Ola customers get a salary even if they are only sleeping and never reply to customers' grievances and complaints.
Ola should stop manufacturing these scooters as it is not their cup of tea. Only harassing customers by selling their faulty scooters.",Everything,< 3 months,< 5000 kms,1,3,1,3,1,1,,1,,OLA S1
Ola should better manufacture bicycles. Making EV scooter is not of their capability. company people only looting customers' money. Don’t even think of going for them. Ola scooters are worst than bicycles. And their customer support people are worst than clerks.,Daily Commute,< 3 months,< 5000 kms,1,3,1,1,1,1,,2,,OLA S1
"I have experienced a worst services provided by the ola Coimbatore region. They were cheating the customers by giving false beliefs. When i know that i have been cheated by the company they convinced me and ask me to put a mail, still now no reply has been received. And also the product that ola s1 pro has been delivered to me. The become worse within the 10 days from the date of delivery which is driven less than 560 kms. They said road assistance will be provided at once you needed . But i got the road assistance more than after 16 hrs. from time that made a complaint. The cheating company ola better shutdown their business instead of giving false belief and worst product to the people..",Daily Commute,< 3 months,< 5000 kms,1,2,1,3,1,2,,1,,OLA S1
"Do not buy!!! remember it's your hard-earned money, go for ather.
No testing was done, roadside assistance is junk, impossible reliability.
This company created a toy that is lethal so don't play around.
It should have had a better quality battery. The reverse is not needed if not tested disable it.
Remove annoying loudspeakers, no one will use ola as speakers.",Everything,< 3 months,< 5000 kms,1,,,,,,,,,OLA S1
"1.Buying experience is too much good.
2.Riding experience is awesome, specially his sheet is so comfortable and easy to sit .
3.Black color looks so much pretty, black looks like a black horse is running.
4.Low cost of maintenance, no need servicing too early.",Daily Commute,> 1 yr,> 15000 kms,5,5,5,,5,,5,,5,Bounce Infinity E1
"Cons are that you can't triple ride, handle is ok but be careful with the battery. I know i am writing this but I like this scooter and I need a 4 Inline bike.",Daily Commute,3-6 months,< 5000 kms,5,5,5,,5,,5,,5,Bounce Infinity E1
"Best scooter because of best performance, dynamic looks, average is also good, very comfortable seats and affordable price ext. If we carry extra battery so easy we can go anywhere like tour with small budget as well as happy hour spent with family, friend, kids and someone who special. Very fashionable looks.",Everything,Never owned,,5,5,5,,5,,5,,5,Bounce Infinity E1
"Battery as a service is best feature by bounce infinity. As EVS are in trends today, New electric scooter jaunty plus with high speed and long range was launched today. Main features of amo electric scooter jaunty plus are top speed 50 km/h, range 120 km in a single charge, swappable battery packs, takes 4 hours to 100% charge etc.",Everything,Never owned,,4,,,,,,,,,Bounce Infinity E1
"This electric scooter has a unique design it's headlamp are stylish and quite pretty the maximum speed at which i travelled is approximately 55 or below it but when there are some cracks on rock it's plastic sounds a lot it's finishing is quite better rather than other electric scooter i travel it approximately 40 km per day and i charge it thrice in week so, i give it 5 star and i think who read this should give him 5 star as it deserve it.",Daily Commute,< 3 months,< 5000 kms,5,5,4,,4,,5,,4,Bounce Infinity E1
"Chasing bounce to bounce & still bouncing
Chasing bounce infinity e1 after paying the full amount for delivery and still not able to case the bounce, as they keep bouncing the date after date after date for their vehicle delivery. As per the company communication, the delivery across 7 states in India started on April 18th. And they asked for full payment from the customer for selected colors — red & black. As they are only producing these 2 colors because of the demand. The customer went ahead and change the color from grey to black so that it will be easy for the company to do the delivery without any hassle, still, it keeps bouncing, after all, it’s bounce infinity so it tends to bounce. And the customer has to wait for another bounce. Even after 12–15 calls to their customer support, they don’t have access to customer booking IDs or details and keep asking every time. So-called customer care doesn’t even know the dealer details in the Maharashtra region, as per customer care they are yet to finalize the dealer in Pune. When asked for the expected delivery date for the vehicle, associates say you have to wait till June. Though other associates say you will get the vehicle delivery date by 9 or 10th May. Please stop keep bouncing and bouncing every time and have standard updates or details with everyone.",Everything,Never owned,,1,3,2,,1,,2,,1,Bounce Infinity E1
"Excellent driving comfort in cities like hyderabad, awesome look, comfortable while driving, nice pick-up, spacious at the front... Bounce really rocking. Hyderabad youngsters are rocking this vehicle all over ... Especially kukatpally,ecil, are enjoying, my colleague who works in google at kondapur who travel from ecil to workplace.",Daily Commute,6 months-1 yr,5000-10000 kms,5,5,1,,5,,5,,5,Bounce Infinity E1
"1. Buying experience: they are not selling at the agreed price. Every day they are changing prices.
When booking time they told rs.79999/- after they have changed rs.85000/- again changed rs.87000/- and again changed rs.97000/-
They have to inform all those things at the time of booking, but they didn't do that.
please don't believe bounce words.",Daily Commute,> 1 yr,< 5000 kms,1,,,,,,,,,Bounce Infinity E1
"Don't buy this,
They will increase the 30% price after 6 months at the time of delivery, it's a trap, don't buy this, they are not even listening once they receive a deposit from your end. So my suggestion is don't get into this trap try any reputed brand instead of this, you will regret sure if you give them the initial amount.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,1,Bounce Infinity E1
"I have booked my vehicle @ 68000/- and now they are asking for 98000 /-
This is not at all what we expected  & nobody will tolerate this,
I will ensure everybody should get to know about this they used my money for more than six months & now forcing me to cancel.
They delayed & now asking 35% extra money to deliver.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,1,Bounce Infinity E1
"Very very bad experience, no customer care, they charge unnecessary, initially asked 500 then 5000 then 92000 and demanding more & more every day, no customer care is there, only one person is there who is very rude & unethical don't know how to even talk, can't connect with top management, no reply on email.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,1,Bounce Infinity E1
"Scooty is the same as their name bounce, so don't buy it as the price is about 1 lakh as they increase while giving delivery and all, so it is a full corporate trap don't get stuck buying anything else its blunder and they have very thick skin, nobody bothers to even reply cant think about resolution, so keep away & be happy.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,1,Bounce Infinity E1
"Buying experience
Waiting for 15 days but no option to see even dummy. So that one can decide whether to buy it or not.
Riding experience
Just ok. Continues noise on tires when drive with 2 persons and even service center don't have permanent solution for this.
Details about looks, performance etc.
Looks are good and performance is also ok.
Servicing and maintenance
Worst service. No service center available near me and if go to a service center which is 10km distance from my location then they always need complete day to do service and also the quality of service and parts used are very bad.
Item replaced at the time of service again stops working in 1 day and on next visit service center need charges for same issue.
No way to contact any heads, no one pick call when contact on customer care number.
Tried to talk on chat but they are saying use website and submit feedback but they don't know where is the option of giving feedback.
Pros
Electric
Cons
Service
Quality of material used
Quality of charger
Final words don't buy this company product because added hero doesn't make it a product of actual hero. It seams link they have given contract to some Chinese company",Daily Commute,6 months-1 yr,< 5000 kms,1,3,2,,1,,2,,2,Hero Electric Optima CX
"This is something worth buying. I bought it almost 1 year ago. Its battery is just superb. While it is very silent and does not make any sound while starting. Its looks are not great but its performance is awesome. It has a very low maintenance. It has a very good range and speed. Its ride is smother than ola s1 and Ather 450x, which I test ride.",Everything,> 1 yr,< 5000 kms,5,4,5,,5,,5,,5,Hero Electric Optima CX
"This is the best model of hero electric
And this is most decent and a good electric vehicle which runs at normal speed for more than 100kms on single charge this is eco friendly and antitheft scooter and more over this is of budget friendly which includes most comforts to choose a e-vehicle only the problem is it cant exceed more than 40 km/h and looking is quite simple not too attractive overall this model is the considerable as top 10electric scooty available in India.",Leisure Rides,> 1 yr,5000-10000 kms,4,3,3,,4,,4,,4,Hero Electric Optima CX
"This is a good electric bike. I am happy with this bike. After my journey , thanks for hero electric optima I have suggested my friends and family relatives to buy this bike. My home has two electric bikes at home. Thank you hero team.",Everything,3-6 months,< 5000 kms,5,5,5,,5,,5,,4,Hero Electric Optima CX
"Servicing and maintenance- writing here my honest review, bought vehicle on 7 Sep 2021 after 20 days I found crack on vehicle. Inform to salesman of showroom. After daily follow-up they did nothing. Hero had worst customer service. I have write couple of mails to customer care but did not get proper reply & service manager told me that I have to pay for that accessory which is broken without any cause. Mileage wise its good. You can't ride in night as its light is so so dim hardly 10 meter area is visible. One word review worst service care.",Daily Commute,< 3 months,< 5000 kms,3,4,1,,1,,4,,4,Hero Electric Optima CX
The scooty is one of the best budget scooty out there. The style is decent as in a scooty. The motor is powerful enough to power the scooty. The speed is optimal and the battery life is decent. Overall a great package in then aggressive pricing. You will surely enjoy it. Suspension is also good to drive within the city and you can do little bit of off roading too.,Occasional Commute,< 3 months,< 5000 kms,5,4,5,,4,,4,,4,Hero Electric Optima CX
"1 . Vary bad sales persons in all over kolkata.
2 . Good but not worth it.
3 . Nothing good in instrument cluster, battery indicator is not good no information about range respect to remaining charge.
4 . Brakes are not good. Check every parts carefully and don't rush.
5 . I will recommend not to buy it,",Daily Commute,< 3 months,< 5000 kms,2,2,1,,1,,4,,1,Hero Electric Optima CX
"See there are many problems, the build quality is not good, the battery showing software is faulty the scooty stops without warning, the brakes are not so good and it's pricy compared to its rate and features using it from around 1 year so at last, I could say it's ok not so great, it really destroyed my ev enthusiasm, also it given 50 km range is false the real range is around 36 km.",Daily Commute,> 1 yr,< 5000 kms,3,4,1,,1,,4,,1,Hero Electric Optima CX
Great to see to bike riding experience was great. Need to improve some more features on pricing and also look and variant and mileage increase aspects to make the bike runs in the market first as per the customer expectations. So I will be glad to be here to get the price for the bike. Thanks.,Everything,6 months-1 yr,< 5000 kms,4,3,4,,4,,4,,4,Hero Electric Optima CX
It was awesome Low price to buy. No troubles with riding. Look it was good for me and you. Servicing and maintenance was supper .We have a responsibility to save our environment at a time we saving our money and i'm suggest to buy this scooter it was supper and awesome.Go now and buy the scooter.Hero splash.,Daily Commute,6 months-1 yr,< 5000 kms,5,5,5,,4,,4,,5,Hero Electric Flash
"It was great to buy.But riding was not too good.Has a less power but good at this price range .It's good for students . Servicing and maintenance are easy.Although, It is useful for daily use.But not for those who ride for longer distance these can be used within 15 km range.",Daily Commute,> 1 yr,< 5000 kms,3,3,3,,1,,1,,4,Hero Electric Flash
"I past used honda activa but in my scooter gives mileage is 35 kms mileage, weekly my expenditure for petrol is 500rs. Yearly maintenance is also high and extra expenses, But in this electrical scooter is very much better than petrol scooters, Thanks for hero scooters Giving best scooter in hero in best price.",Daily Commute,3-6 months,< 5000 kms,5,4,5,,5,,5,,5,Hero Electric Flash
Kabhi mat purchase karna - quality of the product is too poor and no timely service is provided by the company. I find it too be very low grade product and even suggest not to purchase this company product I find it too be very low grade product and even suggest not to purchase this company product.,Daily Commute,> 1 yr,5000-10000 kms,1,2,1,,1,,2,,1,Hero Electric Flash
"Firstly i don't know why other websites had such bad reviews mayb cuz of the previous model(cuz i have ridden and it's so so) but i am in love with this model 1) buying experience was pretty nice ..They were polite and wer patient enough to listen to our queries and answer it 2) i had ridden once 250w motor flash and it was decently nice but because of top speed being 25km its ok for short distance in dense traffic ..But this 500w motor is perfect for daily commute ..Did not expect that initial torque and power to b so much in a 500w motor..Good enough to overtake autos and 100cc bike in low speeds below 35kmphr when they are not throttling in traffic while you are its like a breeze ...No vibrations no noise and especially if u r riding in a quiet locality its like waow the only noise you here is the suspension squeaking ..I guess hero needs to improve on that( being sarcastic) hahaha ...Looks pretty decent ..And decent ground clearance...Suspension is a bit stiff but its ok for a low speed ride ... Ridden 45km and still has two bar battery , guess it will go upto 55km for sure Don't know about maintenance since its less than 30 days but i think this is a killer scooty at the cost 58.5k on-road in kolkata with 3 years warranty for all the main components ..And running cost being cut down to 70 paise/km including battery cost ..And pollution free..Just a go commute.",Daily Commute,< 3 months,< 5000 kms,5,4,4,,5,,4,,5,Hero Electric Flash
"Excellent service provided by the dealer. Riding is like surfing on the wind, i suggest it's name would be windrider as all you can hear the sound of wind on lonely road.Looks. I often stopped by people asking, what is this kind of vehicle. Never seen such a great thing.Great value for money.Must for every home.",Everything,> 1 yr,< 5000 kms,5,5,5,,4,,4,,5,Hero Electric Flash
Its a amazing electric scooter.I used it for daily rough use. My daily use is approx 70 km and i m happy with it. No any maintenance till yet. And i don't think it will need any maintenance if you take care of it properly. I used to charge drive and again charge and drive some time i used to trave it in city for 80 km a day.,Daily Commute,< 3 months,5000-10000 kms,5,5,5,,4,,5,,4,Hero Electric Flash
"Got it for 45000 on road in bangalore. Actual price is around 53000. Very smooth and 3 years warranty for all battery, motor, and controller ensures peace of mind. Very light and easy to handle. Motor cuts off during braking, which is a very good feature. Very cute looking scooter. Speed saturates around 38 to 40 km/hr. Keeping a good tyre pressure will ensure good battery life and pickup. Only one disadvantage is, can't take for a long drive, but then who takes the scooter for a long drive? the range of 60 km per charge is pretty good enough. Finally, hero has made a perfect product or the indian market.",Daily Commute,< 3 months,< 5000 kms,5,5,5,,4,,4,,5,Hero Electric Flash
I'm want to buy this sexy slim scooter. Now a days petrol is big problem for everyone. Petrol also very bad quality and less quantity for the amount we are given. Maximum all are traveling around 50-70 kms. Per day. So i choose to buy the scooter. We are allocate around 4000-5000 rupees every month for petrol. That amount will be saved in your pocket. And our atmosphere also not polluted. The main thing is we live little bit healthy...,Daily Commute,Never owned,,5,5,5,,5,,5,,5,Hero Electric Flash
All 1 to 5 point excellent riding experience smooth ride no pollution no noise looking very sexy and sporty and maintenance free daily ride for going to duty tension free almost 35 km with joy on the road and seen many natural sight seen everyone see my riding and tell me what a scooter you have purchased.,Daily Commute,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
"The electric flash is very comfortable and give good service to the owner its disadvantage is that it cannot hold up more than 100 kilogram it is safely to travel nearly areas it is good for students education. It looking good, but it is charged in ground floor not on the upper floor. Its price is very low.",Daily Commute,6 months-1 yr,< 5000 kms,5,5,5,,4,,4,,4,Hero Electric Flash
"Worst experience very difficult while driving in the bridge appearance looks good, performance very poor service is very poor quality of vehicle is not good shock absorber failed in two months, if vehicle get puncture it will be headache no local shop will do puncture work and dismantling the wheel the assembling wheel is not easy connectors for the motor not accessible easily. It run for only 5000 km battery cost is high comparatively higher than petrol vehicle and only your happiness will go away by purchasing this vehicle. Lot of disadvantage is only for this vehicle. Poor service center nobody cares for it.",Daily Commute,> 1 yr,5000-10000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
Actually i saw this vehicle before 1'year but i am planning to purchase this bike for my father. This bike is smooth and comfortable with double seat also with very low maintenance and repair. Good and comfortable with double seat and back again to purchase this product on vacation from raigad Maharashtra India.,Daily Commute,Never owned,,4,4,4,,4,,4,,,Hero Electric Flash
This is waste product i have used yet i am not suggest to any one to buy this product this is totally wastage of money riding experience is bad it can't run with 2 people sitting this is the waste product and services i have used specially for the the services i feel cheated with this product i never recommend to any one to purchase the product my bike is only 5 months old it creates many problems with the battery and other parts of the vehicle.,Daily Commute,3-6 months,< 5000 kms,1,1,1,,1,,2,,1,Hero Electric Flash
"Servicing and maintenance:- very bad attitude from dealers(Trissur). They are only for sales, no need to her any complaints from customer. Now a days not picking calls. Servicing and maintenance:- very bad attitude from dealers(Trissur, mannuthi) They are only for sales, no need to her any complaints from customer. Now a days not picking calls.",Daily Commute,6 months-1 yr,5000-10000 kms,3,,,,,,,,,Hero Electric Flash
"This scooty is super and super range ,and this scooty is electric it is super for environment. Scooty design is so nice and cool and this pick up is so nice,and his led light is not cool but just ok ,scooty colour is so cool it is like small price but nice my first choice, this scooty is small price but right choice for any one.",Everything,Never owned,,4,3,5,,5,,5,,1,Hero Electric Flash
"I had a very good time with my this electric scooty Easy to ride and smooth handling, service is also good for this scooty looks and the headlight is very cool and good looking At last i love this bike at all charging is so good I plug this at night And its run upto 170 km with 40-50 speed approx whole day Very nice product hero than you.",Daily Commute,3-6 months,< 5000 kms,5,5,5,,5,,5,,4,Hero Electric Flash
"This very good bike for students and services and also save daily fuel.Good for daily use. Low maintenance cost helps a lot . A lot of colour variants to choose from. You get assured services from hero corp. And yes , electric is the future. Better aerodynamics helps the vehicle get to the highest of the speeds.",Everything,> 1 yr,5000-10000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
Its a very good and useful product. I am a user of hero electric flash scooter and hi gives me full value of my money. I am glad that it is not harmful for nature. Today petrol price is a most common problem for every person. But my hero electric flash gives me financial freedom for this situation.,Everything,< 3 months,< 5000 kms,4,3,4,,3,,5,,4,Hero Electric Flash
it's amazing vehicle. This type of vehicles play an important role in the field of green and clean environment. There are lots of amazing features of this bike. It's cost is totally pocket friendly. It's design and colour is attractive. It's riding and maintenance is too easy. It is easily available in market. The main function is that it is trust of hero. Thank you.,Daily Commute,3-6 months,< 5000 kms,4,4,4,,3,,4,,5,Hero Electric Flash
I bought rafter electric scooter in last year October in June month. My scooter stopped charging. So many times I complained to the showroom. From last 45 days. I handed over my scooter to showroom for diagnose. The problem is still there but still no solution for my scooter by company. I am very disappointed with Rafter company owner and their employees behavior,Daily Commute,6 months-1 yr,5000-10000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
"Worst experience with hero electric scooter. Performance is poor, quality was not up to the mark as expected. With one full charge the scooter is running only 30 km/l. The build quality was also very poor. I was totally disappointed with hero electric scooter. Waste of money and not satisfied with this scooter.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,2,Hero Electric Flash
"1) Very bad experience while buying something else shown on website regarding offer and when you visit showroom they don't know what we are talking about.
2) Riding experience is totally worst. Everything is made up of plastic and which is of worst quality. Within few months many noises will arise and lock problem which I had to change within 2 months by paying 1200 rs.
3) Looks is not so good compared to petrol bikes and performance is worst. You buy a bike to save money but actually you should have invested in a petrol bike because parts of this bike is costly.
4) Servicing and maintenance is always ready. As soon as you reach the showroom they will say some parts are broken which is not in warranty and ask you to pay, costly to maintain this bike.
5) pros I haven't seen any bike like this. My hard earned money I lost like stupid and I never recommend any one to take this bike.",Daily Commute,6 months-1 yr,5000-10000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
"Very poor experience .I have recently purchased their nyx model from Aditya motors Varanasi ,up .May be he delivered us a defective piece not even 4 months had passed and I renewed almost each every part of it as every parts got damaged on weekly basis, dealer told us that there is no warranty on it. Uncomfortable seats. Very less mileage have written many emails to the company but no replies ,not receiving customer care phone calls also .Even their gift vouchers are also already redeemed one .I will suggest not to buy their any model because in future they are not going to help you in any way.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
"We purchased hero electric flash from Jindal motors, Khandwa. This dealer is good and best in service but Hero Elecric suddenly changed their dealer. Against complaint of battery problem to the dealer an inexperienced engineer worked on my hero flash bike and some items were not installed due to this my bike not working properly and demanded Rs. 500 for under warranty service and say you did not purchase this bike.",Daily Commute,> 1 yr,5000-10000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
"I have completed 1020 km's on this bike.100 km's plus per charge is again and again checked and found correct. The odometer always gives a 10 percent less reading than actual. I have taken that also into account in 100 km's range. Hero electric lite is the best ev scooter in India, for the same price, and specifications. Go for this scooter to beat the petrol price and save loads of money. I have no issues in running this scooter. I recommend buyers should read a lot on lithium ion batteries and care of them for excellent range.",Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
"Awesome performance. I get 100 km's range with full charge. But I use it for 60 to 70 km's range only. Charging is then for two hours only. The best e bike in India. One charge is less than 1 unit. It's the cheapest mode of transport. Cost of 70 km's ride is approx. 8 rupees, or 10 paisa per km's. The bike needs disc brakes.",Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
"Awesome bike. I bought the hero flash from e galaxy showroom in pcmc. The sale and service personal are very helpful. I get a range of 100 km's now after riding 750 km's. I don't use the full 100 km's. I charge after every 60 to 70 km's. Charging takes just 2 hour's plus. That's because a lithium ion battery should not be charged 100 percent and should not be drained completely. I let the bike roll as much as it can and I use the throttle sparingly. Look wise the bike has a lovely cute look. I love it. Till now no maintenance. At 100 km's approx. per charge, I will get back my investment in maximum 1 year. I use under 1 unit of electricity per charge. So it's just 10 rupees for 100 km's. Or 10 paisa per km. Braking is an area the company should improve by giving disc brakes both front and rear.",Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
"Service and maintenance- even a small fix for breaks can only be fixed by hero electric showroom. Because parts are not available in open market, other mechanics are scared to touch these vehicles. And showrooms charge too much of price for even a small fix. Mechanics at Vijayawada service center are very rude as we are completely depended on them for fixing it.",Occasional Commute,> 1 yr,5000-10000 kms,2,3,2,,1,,3,,1,Hero Electric Flash
"I bought it in Hyderabad, When I was buying it they promised me of 50 km range but I got around 40. Still good. When I bought it home it was very silent and felt like a new experience .I don't know why but I got so much excited for that . One of the main reasons I bought that I don't need registration for that and I also don't need insurance and all that stuff. It's like ex showroom price is on road price .It once got stopped and didn't give warning but luckily I was near my home so I charged it . Well it was my fault that I didn't charge it in 7 days . So it was great and I felt great and I clearly don't regret buying that.",Daily Commute,< 3 months,< 5000 kms,5,4,5,,3,,4,,4,Hero Electric Flash
"It was easily available in market. I usually drive this bike and really love the ride. It is very attractive and light weight. The best thing is it is very economical and attractive. No need of service just some times wiring check is needed. Yes battery life goes of decreasing with time. Very less maintenance charge. Just have to replace the battery, but my one is going good.",Daily Commute,> 1 yr,< 5000 kms,4,5,4,,5,,5,,5,Hero Electric Flash
1. Buying experience.Ans. Very good 2. Riding experience Very smooth and silent 3. Looks Awesome look Better performance 4. Service. Very good service 5. Pros and cons Good for environment No pollution Light is very good Light weight Cons Battery is not covered well In-front of seat is not well locked Any one can remove seat It is very bad. It means anyone can stole battery.So i suggest do some better protect for battery Thanks.,Daily Commute,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
The customer service is really pathetic. There is no escalation contact. No proper channel to raise complaint. I booked this vehicle and they delivered a defective meter. The showroom says they are not responsible to defect and kerala sales manager is responsible. He never picks calls. Even after 3 months defective meter is not fixed. Please never buy from hero. Very bad experience.,Daily Commute,3-6 months,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
"I have used this bike for buy essential, sometimes i was go for my work and its good for ladies also. Speed 35 to 40 but its ok mileage 40 to 48 not bad one time charge you can drive 40 to 48 kilometre. Its cheap if we compare to petrol bikes just charge and drive, if anyone want to buy that's good for home only not for work.",Occasional Commute,3-6 months,< 5000 kms,4,4,4,,3,,4,,4,Hero Electric Flash
1. When i bought this bike it was high value but now this bike is economical.2. Seat is low for man but it is comfortable for women.3. Color of bike is very nice but height of seat is low.4. Servicing of this bike is done well except tube repair is very difficult because a pin is inserted into the tyre then tube is difficult to open for rear wheel . If tyre of rear wheel is solid then it is very good. Motor of rear wheel works difficult to repair.Pros: it is light in weight.Parts are light in weight.Height of this car is convenient for women.Cons: it runs sightly.Parts of this bike is not so strong.Seat of this bike is low height for man.Tyre of rear wheel is not so solid as it necessary.,Daily Commute,> 1 yr,5000-10000 kms,4,4,4,,4,,4,,4,Hero Electric Flash
"My optima giving half mileage of what promised by company with in 2 months.When i asked dealer he said first you got 3 years warranty. But now he said we don't keep batteries as spares. It cost 5000 rupees to ship your batteries to company and takes minimum 3 months . And more over you have to bare other charges if problem won't find by company. When i called customer service, they gave me rm number, unfortunately they revealed secrets that they don't manufacturer any product like batteries and spares and body parts and body. They only buy every peace. So they don't have any technology to test and improve the batteries.",Daily Commute,3-6 months,< 5000 kms,1,3,1,,1,,2,,,Hero Electric Flash
Buying experience was like a champ...It's good for teenagers with no licence and for not over speeding..The suspensions were really appreciated by me but the acceleration will decrease over time..The trunk is really tiny ..You'll need to buy a special helmet to fit in the trunk ..And one last thing read the manual carefully even for once...Thanks,Daily Commute,> 1 yr,5000-10000 kms,4,4,5,,4,,5,,4,Hero Electric Flash
Wow mind blowing bike. I really like this bike. Excellent service of bike. Also customers service is very good. I love u my bike. My 6 friends bought these bike. They are also this bike. Wow mind blowing bike. I really like this bike. Excellent service of bike. Also customers service is very good. I love u my bike. My 6 friends bought these bike. They are also this bike.,Daily Commute,> 1 yr,10000-15000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
"I am intrigued by the smooth, silent and efficient test ride of the flash hero electric vehicle. It was an astonishing experience for me to note that the vehicle fell silent and in stand-by mode at the signal till i accelerated... And the pick up was immediate! an ideal machine for in-town move-abouts. Your ads could be more aggressive. People could be weaned away from the false idea of meaningless speed, wastage of power and money - and the consequent inevitable 'eco-pollutions'...It will be wonderful if its range per charge could be enhanced. I have some innovative ideas for the same. I would be happy to offer my experience & expertise to conduct/ guide some projects in this regard for the company. Kindly contact me in this regard if you think it would be useful...",Occasional Commute,Never owned,,4,4,,,,,4,,4,Hero Electric Flash
"I bought this bike(lead) in june 2019 at 41,000(maybe costlier than now)it is good in looking but it's body is totally plastic. According to me it can't handle more than 130-150 kg of weight for the speed. If you are buying then be careful while driving, i met with an small accident and the condition of the bike was worst due to its plastic body. And one more thing it takes around 8-9 hrs for charging and last till just 30-45 km(not more than that according to me). When it was new there was no footrest for keeping legs but now may be company is allowing.Well it's maintenance is not that hard just to charge and keep it clean. But i recommend to take it to service every 2-3 months because it may cause some break issues. Otherwise this bike is amazing and you will be feeling happy to drive this.",Daily Commute,6 months-1 yr,< 5000 kms,3,4,3,,3,,3,,2,Hero Electric Flash
Servicing and maintenance is very low cost. In present time people choose for affordable option only for electric bikes and scooty.,Daily Commute,Never owned,,5,4,4,,4,,3,,5,Hero Electric Flash
"After full charge, it's only run 35-40 km, while driving nonstop. On fly over it become very difficult to drive as is comes on speed 10 on a single person ride, battery cost is also high, which is likely 36000 for 1 battery. No pick up.
If i used to drive on long way, then charging issue, over all its totally wastage of money.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
Great for city travelling it is a good and comfortable bike for daily nearest way it is pollution free it is fully automatic and the brakes are very high and it has very effective price i think it's a great deal for me and my family it has a noise free riding and the battery charged very quickly all over it is a great deal.,Daily Commute,3-6 months,< 5000 kms,4,4,4,,4,,5,,4,Hero Electric Flash
"I ride this flash bike.This is very good and smooth ride.Its light weight.Low maintenance,its ride like a batter,this bike looks very nice,but one problem is its speed is too low.But its comfortable for lady. I want to buy this bike again for my wife. This is amazing gift for my wife. So i want to buy this flash bike.",Daily Commute,Never owned,,5,5,5,,5,,5,,5,Hero Electric Flash
,Daily Commute,Never owned,,5,5,3,,4,,4,,4,Hero Electric Flash
,Everything,Never owned,,4,4,4,,4,,4,,4,Hero Electric Flash
,Daily Commute,> 1 yr,10000-15000 kms,1,1,1,,1,,1,,1,Hero Electric Flash
One of worst bike in electric no service bad feature break maintenance weak show ups don't waste your money on this bike i purchased it but i didn't receive battery from last 3 months i am using it i purchased it from Aurangabad showrooms but not getting proper service.,Everything,6 months-1 yr,< 5000 kms,1,1,1,,1,,1,,,Hero Electric Flash
"Don't buy the bike from this dealer. Very pathetic experience. 6.30 pm i have taken delivery from show room on 27th Jan 2022 , at 6.45 pm console light, indicator and head light was not working. Informed dhanya motors and they sent mechanic very next day. And resolved the issue. As per them it was resolved. The moment their mechanic left the house , issue started again. Used the vehicle for 3 days with out light and indicator due to urgency. Informed dhanya motor again to rectify , they have taken back the vehicle to check. As per them the issue was due to loose connection and they want me to pick up the bike from work shop..... Why should i pick up the bike from their work shop? They are not sure whether issue has been addressed or not. They want me to check and take. I said no... Last 3 days it is lying in the show room.
Never purchase this vehicle, if you want o purchase never in dhanya motor. Pathetic response from the team. I have made big blunder",Daily Commute,< 3 months,< 5000 kms,1,3,2,,1,,1,,1,Hero Electric Flash
,Daily Commute,6 months-1 yr,< 5000 kms,4,4,4,,4,,3,,5,Hero Electric Flash
,Daily Commute,< 3 months,< 5000 kms,4,5,5,,5,,4,,5,Hero Electric Flash
It is amazing for old younger above 50 years Very smooth No noise Look was really good Good use for within 10kms It gives 27km/hr And 55kms/1 charge. I was use last 6 month it give good mileage No trouble in running Hero service also good Brake lever is little hard Seat lock not perfect its give little sound in vehicle running time.,Daily Commute,6 months-1 yr,< 5000 kms,5,4,5,,5,,4,,4,Hero Electric Flash
,Leisure Rides,Never owned,,4,3,5,,5,,1,,4,Hero Electric Flash
,Daily Commute,< 3 months,5000-10000 kms,5,5,4,,5,,5,,5,Hero Electric Flash
